bucket,n,PICP,width,site,method,variant,horizon_min
2024-09,3288,0.9309610705596107,361.4575951129309,yulara,aci,anticipative,60
2024-10,3529,0.936809294417682,361.14571743401297,yulara,aci,anticipative,60
2024-11,3054,0.9161755075311068,489.99658440603565,yulara,aci,anticipative,60
2024-12,3502,0.9294688749286122,434.38800435598677,yulara,aci,anticipative,60
2024-01,3499,0.9128322377822234,472.8907007758525,yulara,aci_regime,anticipative,60
2024-02,2949,0.9426924381146151,312.1973646179166,yulara,aci_regime,anticipative,60
2024-03,3461,0.9141866512568622,470.89668538012677,yulara,aci_regime,anticipative,60
2024-04,2974,0.9196368527236046,234.18958088312357,yulara,aci_regime,anticipative,60
2024-05,2846,0.9040758959943781,239.78159273064713,yulara,aci_regime,anticipative,60
2024-06,2678,0.9115011202389843,263.80460480003404,yulara,aci_regime,anticipative,60
2024-07,2831,0.9042741080890144,255.18779896190327,yulara,aci_regime,anticipative,60
2024-08,2183,0.9161704076958315,212.1773664695655,yulara,aci_regime,anticipative,60
2024-09,3288,0.9242700729927007,375.4870948245513,yulara,aci_regime,anticipative,60
2024-10,3529,0.9300085009917823,370.394712150375,yulara,aci_regime,anticipative,60
2024-11,3054,0.9151931892599869,514.5874203213015,yulara,aci_regime,anticipative,60
2024-12,3502,0.9300399771559109,436.0938017770976,yulara,aci_regime,anticipative,60
2024-01,3499,0.8959702772220635,704.5103441156563,yulara,aci,delayed,60
2024-02,2949,0.9352322821295355,496.7367250556371,yulara,aci,delayed,60
2024-03,3461,0.9078301069055187,687.586215503852,yulara,aci,delayed,60
2024-04,2974,0.9075319435104237,417.0475646558341,yulara,aci,delayed,60
2024-05,2846,0.8636683063949403,381.2850379052473,yulara,aci,delayed,60
2024-06,2678,0.8607169529499626,396.6566308045112,yulara,aci,delayed,60
2024-07,2831,0.8601200989049805,435.3260308181772,yulara,aci,delayed,60
2024-08,2183,0.9170865781035272,362.0933430709144,yulara,aci,delayed,60
2024-09,3288,0.9200121654501217,567.563131745576,yulara,aci,delayed,60
2024-10,3529,0.914706715783508,567.3796457075183,yulara,aci,delayed,60
2024-11,3054,0.889652914210871,743.1600840591763,yulara,aci,delayed,60
2024-12,3502,0.9149057681324957,636.542412521004,yulara,aci,delayed,60
2024-01,3499,0.8656759074021149,574.8590044659973,yulara,aci_regime,delayed,60
2024-02,2949,0.910139030179722,370.1513998546193,yulara,aci_regime,delayed,60
2024-03,3461,0.8725801791389771,551.0112010136985,yulara,aci_regime,delayed,60
2024-04,2974,0.8839946200403497,299.47873058577596,yulara,aci_regime,delayed,60
2024-05,2846,0.8446943078004217,303.9635288279275,yulara,aci_regime,delayed,60
2024-06,2678,0.8495145631067961,295.023329098493,yulara,aci_regime,delayed,60
2024-07,2831,0.8413987990109502,334.45339150513894,yulara,aci_regime,delayed,60
2024-08,2183,0.896472743930371,338.22292917327695,yulara,aci_regime,delayed,60
2024-09,3288,0.8895985401459854,516.7068256154209,yulara,aci_regime,delayed,60
2024-10,3529,0.8906205724001134,433.852125904052,yulara,aci_regime,delayed,60
2024-11,3054,0.8719711853307138,602.9026882174127,yulara,aci_regime,delayed,60
2024-12,3502,0.8934894346087949,553.7434795305521,yulara,aci_regime,delayed,60
2024-01,3782,0.7908514013749339,294.85331873905164,yulara,icp,static,15
2024-02,3191,0.8840488874960827,297.5421030862483,yulara,icp,static,15
2024-03,3740,0.8184491978609626,291.2928571071319,yulara,icp,static,15
2024-04,3254,0.9425322679778734,297.77579862994565,yulara,icp,static,15
2024-05,3116,0.9168806161745828,296.1932310188994,yulara,icp,static,15
2024-06,2949,0.9118345201763309,291.89937616896503,yulara,icp,static,15
2024-07,3110,0.9112540192926045,297.30471447348634,yulara,icp,static,15
2024-08,2432,0.953125,294.5446935402144,yulara,icp,static,15
2024-09,3558,0.8746486790331647,293.27958284852184,yulara,icp,static,15
2024-10,3814,0.8694284216046145,294.4506853219657,yulara,icp,static,15
2024-11,3353,0.8156874440799284,291.19879413339845,yulara,icp,static,15
2024-12,3795,0.8700922266139658,293.88555261364615,yulara,icp,static,15
2024-01,3782,0.878900052882073,485.81979763505694,yulara,icp_norm,static,15
2024-02,3191,0.9307427138827954,476.42048478917025,yulara,icp_norm,static,15
2024-03,3740,0.8844919786096257,428.94693757300973,yulara,icp_norm,static,15
2024-04,3254,0.8964351567301783,384.0656368281714,yulara,icp_norm,static,15
2024-05,3116,0.8526957637997432,334.789673255517,yulara,icp_norm,static,15
2024-06,2949,0.8375720583248559,300.6741529405601,yulara,icp_norm,static,15
2024-07,3110,0.822508038585209,320.47649782564054,yulara,icp_norm,static,15
2024-08,2432,0.9029605263157895,355.50635430124146,yulara,icp_norm,static,15
2024-09,3558,0.8996627318718381,414.68573106468017,yulara,icp_norm,static,15
2024-10,3814,0.9150498164656529,460.236984113622,yulara,icp_norm,static,15
2024-11,3353,0.8985982702057859,473.5780587097601,yulara,icp_norm,static,15
2024-12,3795,0.9283267457180501,482.9713655298925,yulara,icp_norm,static,15
2024-01,3782,0.8646218931782126,343.3251902744086,yulara,mondrian,static,15
2024-02,3191,0.9191476026324036,245.02492036095057,yulara,mondrian,static,15
2024-03,3740,0.8780748663101604,311.40331569247724,yulara,mondrian,static,15
2024-04,3254,0.9157959434542102,203.88592281486763,yulara,mondrian,static,15
2024-05,3116,0.8741976893453145,204.39143246094247,yulara,mondrian,static,15
2024-06,2949,0.8816547982366904,224.56706250031945,yulara,mondrian,static,15
2024-07,3110,0.8610932475884244,208.1368532703604,yulara,mondrian,static,15
2024-08,2432,0.9325657894736842,171.88683410657538,yulara,mondrian,static,15
2024-09,3558,0.9066891512085441,263.35994010087126,yulara,mondrian,static,15
2024-10,3814,0.9001048767697954,273.16006441084755,yulara,mondrian,static,15
2024-11,3353,0.867879510885774,355.8213060922576,yulara,mondrian,static,15
2024-12,3795,0.9064558629776021,320.5191033052994,yulara,mondrian,static,15
2024-01,3782,0.9344262295081968,366.59332782412645,yulara,cqr,static,15
2024-02,3191,0.9413976809777499,221.91842232697707,yulara,cqr,static,15
2024-03,3740,0.9176470588235294,357.5737929196119,yulara,cqr,static,15
2024-04,3254,0.8795328826060234,174.5496545239849,yulara,cqr,static,15
2024-05,3116,0.8360077021822849,196.71402750856572,yulara,cqr,static,15
2024-06,2949,0.8273991183452017,216.4329114408914,yulara,cqr,static,15
2024-07,3110,0.8032154340836013,199.98500436638068,yulara,cqr,static,15
2024-08,2432,0.884046052631579,149.2976854349036,yulara,cqr,static,15
2024-09,3558,0.9114671163575042,266.9336396191572,yulara,cqr,static,15
2024-10,3814,0.9420555846879917,277.8351223851069,yulara,cqr,static,15
2024-11,3353,0.932001192961527,415.33131195229134,yulara,cqr,static,15
2024-12,3795,0.9457180500658762,346.19242662298865,yulara,cqr,static,15
2024-01,3782,0.9378635642517187,370.5327793853519,yulara,mondrian_cqr,static,15
2024-02,3191,0.9473519272955186,224.40780036182215,yulara,mondrian_cqr,static,15
2024-03,3740,0.9120320855614973,356.6258176332503,yulara,mondrian_cqr,static,15
2024-04,3254,0.8810694529809465,175.92503245817656,yulara,mondrian_cqr,static,15
2024-05,3116,0.8376123234916559,197.57008497903163,yulara,mondrian_cqr,static,15
2024-06,2949,0.8253645303492709,216.37357398615134,yulara,mondrian_cqr,static,15
2024-07,3110,0.8054662379421221,201.46361930856204,yulara,mondrian_cqr,static,15
2024-08,2432,0.8824013157894737,148.50436269261914,yulara,mondrian_cqr,static,15
2024-09,3558,0.910061832490163,266.74798328829246,yulara,mondrian_cqr,static,15
2024-10,3814,0.9428421604614577,279.2810731973907,yulara,mondrian_cqr,static,15
2024-11,3353,0.927229346853564,416.8538572337468,yulara,mondrian_cqr,static,15
2024-12,3795,0.9433465085638999,347.1715266681108,yulara,mondrian_cqr,static,15
2024-01,3782,0.9127445795875199,422.1501237583708,yulara,aci,anticipative,15
2024-02,3191,0.9348166718896898,267.5274479642682,yulara,aci,anticipative,15
2024-03,3740,0.9171122994652406,398.3662578989205,yulara,aci,anticipative,15
2024-04,3254,0.9173325138291334,196.7464289788752,yulara,aci,anticipative,15
2024-05,3116,0.9094993581514762,223.80017974296243,yulara,aci,anticipative,15
2024-06,2949,0.9111563241776873,242.23160280243732,yulara,aci,anticipative,15
2024-07,3110,0.9102893890675241,228.39718784018828,yulara,aci,anticipative,15
2024-08,2432,0.9235197368421053,175.36075761543898,yulara,aci,anticipative,15
2024-09,3558,0.9210230466554244,293.45097588023765,yulara,aci,anticipative,15
2024-10,3814,0.9255374934452019,310.9621703931406,yulara,aci,anticipative,15
2024-11,3353,0.914703250820161,403.6283280272231,yulara,aci,anticipative,15
2024-12,3795,0.9251646903820817,327.7075462039918,yulara,aci,anticipative,15
2024-01,3782,0.9040190375462718,422.43308798735904,yulara,aci_regime,anticipative,15
2024-02,3191,0.9285490441867753,273.08698286488817,yulara,aci_regime,anticipative,15
2024-03,3740,0.906951871657754,365.3761633818212,yulara,aci_regime,anticipative,15
2024-04,3254,0.9044253226797787,190.8112740811878,yulara,aci_regime,anticipative,15
