site,horizon_min,batt,E_max,P_max,policy,theta,protocol,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,soc_min,soc_max
asp,15,large,1500.0,600.0,deterministic,,A,343.55,1492.86,0.0,0.0,0.1,0.355
asp,15,small,250.0,250.0,icp,0.85,A,175.45,888.77,0.514,0.423,0.1,1.0
asp,15,default,600.0,400.0,icp,0.875,A,88.49,621.88,0.7436,0.5869,0.1,1.0
asp,15,large,1500.0,600.0,icp,0.925,A,15.01,196.76,0.9563,0.8682,0.1,0.958
asp,15,small,250.0,250.0,mondrian,0.8,A,99.88,511.26,0.7234,0.6681,0.1,1.0
asp,15,default,600.0,400.0,mondrian,0.825,A,39.34,328.82,0.886,0.7816,0.1,1.0
asp,15,large,1500.0,600.0,mondrian,0.9,A,9.07,139.34,0.9736,0.9067,0.1,1.0
asp,15,small,250.0,250.0,mondrian_cqr,0.75,A,96.2,441.61,0.7335,0.7133,0.1,1.0
asp,15,default,600.0,400.0,mondrian_cqr,0.775,A,45.98,297.16,0.8668,0.8026,0.1,1.0
asp,15,large,1500.0,600.0,mondrian_cqr,0.9,A,13.43,147.06,0.9609,0.9015,0.1,1.0
asp,15,small,250.0,250.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,15,default,600.0,400.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,15,large,1500.0,600.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,30,small,250.0,250.0,cqr,0.8,A,138.66,659.05,0.7089,0.7251,0.1,1.0
asp,30,default,600.0,400.0,cqr,0.825,A,81.44,498.04,0.8206,0.7873,0.1,1.0
asp,30,large,1500.0,600.0,cqr,0.875,A,26.47,292.6,0.9415,0.8747,0.1,1.0
asp,30,small,250.0,250.0,deterministic,,A,476.28,2397.49,0.0,0.0,0.1,1.0
asp,30,default,600.0,400.0,deterministic,,A,453.97,2341.32,0.0,0.0,0.1,0.868
asp,30,large,1500.0,600.0,deterministic,,A,452.16,2335.9,0.0,0.0,0.1,0.407
asp,30,small,250.0,250.0,icp,0.85,A,265.15,1601.77,0.4433,0.3319,0.1,1.0
asp,30,default,600.0,400.0,icp,0.875,A,148.78,1168.49,0.6723,0.5009,0.1,1.0
asp,30,large,1500.0,600.0,icp,0.925,A,27.72,415.37,0.9387,0.8222,0.1,1.0
asp,30,small,250.0,250.0,mondrian,0.825,A,158.25,873.61,0.6677,0.6356,0.1,1.0
asp,30,default,600.0,400.0,mondrian,0.85,A,80.89,621.03,0.8218,0.7348,0.1,1.0
asp,30,large,1500.0,600.0,mondrian,0.9,A,23.24,321.39,0.9486,0.8624,0.1,1.0
asp,30,small,250.0,250.0,mondrian_cqr,0.8,A,138.62,660.74,0.709,0.7244,0.1,1.0
asp,30,default,600.0,400.0,mondrian_cqr,0.825,A,80.99,498.39,0.8216,0.7871,0.1,1.0
asp,30,large,1500.0,600.0,mondrian_cqr,0.875,A,26.35,292.98,0.9417,0.8746,0.1,1.0
asp,30,small,250.0,250.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,30,default,600.0,400.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,30,large,1500.0,600.0,oracle,,A,0.0,0.0,1.0,1.0,0.1,0.1
asp,60,small,250.0,250.0,cqr,0.825,A,211.38,1166.52,0.6437,0.6552,0.1,1.0
asp,60,default,600.0,400.0,cqr,0.825,A,140.09,976.89,0.7513,0.7042,0.1,1.0
asp,60,large,1500.0,600.0,cqr,0.9,A,67.58,563.91,0.8797,0.8291,0.1,1.0
asp,60,small,250.0,250.0,deterministic,,A,593.33,3383.26,0.0,0.0,0.1,1.0
asp,60,default,600.0,400.0,deterministic,,A,563.28,3302.01,0.0,0.0,0.1,1.0
asp,60,large,1500.0,600.0,deterministic,,A,561.82,3299.43,0.0,0.0,0.1,0.528
asp,60,small,250.0,250.0,icp,0.875,A,347.19,2139.13,0.4148,0.3677,0.1,1.0
asp,60,default,600.0,400.0,icp,0.875,A,247.5,1986.46,0.5606,0.3984,0.1,1.0
