method,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
aci_g0.01,30,0.9,all,37549,0.9293,0.0293,0.261,504.71
aci_g0.02,30,0.9,all,37549,0.9321,0.0321,0.25,460.64
aci_g0.05,30,0.9,all,37549,0.9244,0.0244,0.2348,421.38
aci_g0.1,30,0.9,all,37549,0.916,0.016,0.2431,419.11
icp,30,0.95,all,37549,0.9372,-0.0128,0.3627,801.55
icp,30,0.95,clear,20234,0.9856,0.0356,0.4062,608.33
icp,30,0.95,transitional,13900,0.8614,-0.0886,0.3625,1124.46
icp,30,0.95,cloudy,3415,0.9593,0.0093,0.3727,632.04
icp_norm,30,0.95,all,37549,0.948,-0.002,0.4959,794.91
icp_norm,30,0.95,clear,20234,0.9582,0.0082,0.5687,794.92
icp_norm,30,0.95,transitional,13900,0.9266,-0.0234,0.4882,838.33
icp_norm,30,0.95,cloudy,3415,0.9742,0.0242,0.4596,618.12
mondrian,30,0.95,all,37549,0.9431,-0.0069,0.2845,653.17
mondrian,30,0.95,clear,20234,0.9439,-0.0061,0.1554,467.83
mondrian,30,0.95,transitional,13900,0.9399,-0.0101,0.4882,926.52
mondrian,30,0.95,cloudy,3415,0.9511,0.0011,0.3541,638.79
cqr,30,0.95,all,37549,0.9516,0.0016,0.3124,524.46
cqr,30,0.95,clear,20234,0.9428,-0.0072,0.205,365.78
cqr,30,0.95,transitional,13900,0.955,0.005,0.4492,712.01
cqr,30,0.95,cloudy,3415,0.9898,0.0398,0.5868,701.27
mondrian_cqr,30,0.95,all,37549,0.9516,0.0016,0.3115,519.7
mondrian_cqr,30,0.95,clear,20234,0.9515,0.0015,0.2204,364.41
mondrian_cqr,30,0.95,transitional,13900,0.9486,-0.0014,0.4392,712.07
mondrian_cqr,30,0.95,cloudy,3415,0.9646,0.0146,0.5238,656.85
aci,30,0.95,all,37549,0.9701,0.0201,0.3292,552.32
aci,30,0.95,clear,20234,0.9735,0.0235,0.2234,375.68
aci,30,0.95,transitional,13900,0.9661,0.0161,0.5187,820.18
