year,date,day_class,model,horizon_min,n,RMSE,MAE
2023,2023-08-19,mixed,smart_persistence,30,109,39.17892363912664,20.884056536869938
2023,2023-08-19,mixed,gbm,30,109,38.526419242974086,18.80709381494583
2023,2023-08-20,mixed,persistence,30,91,95.25420217164647,84.4174620240601
2023,2023-08-20,mixed,smart_persistence,30,91,25.72516977905505,18.13336140932419
2023,2023-08-20,mixed,gbm,30,91,23.81648397753323,15.704185877489065
2023,2023-08-21,mixed,persistence,30,109,177.09760826815372,124.92032049336541
2023,2023-08-21,mixed,smart_persistence,30,109,147.9106876398853,84.96312625586772
2023,2023-08-21,mixed,gbm,30,109,129.3570673239542,77.95857301326902
2023,2023-08-22,mixed,persistence,30,109,89.78532879874389,79.58247277496064
2023,2023-08-22,mixed,smart_persistence,30,109,25.470042861579895,17.44304075545566
2023,2023-08-22,mixed,gbm,30,109,22.85831008036595,14.38353489819241
2023,2023-08-23,mixed,persistence,30,97,81.80123651896892,70.88035712487877
2023,2023-08-23,mixed,smart_persistence,30,97,28.223252644106488,15.878218417823968
2023,2023-08-23,mixed,gbm,30,97,29.00473307561023,16.01685303514912
2023,2023-08-24,mixed,persistence,30,110,93.1754004841966,82.0472550825643
2023,2023-08-24,mixed,smart_persistence,30,110,24.96198058634812,17.295297418180898
2023,2023-08-24,mixed,gbm,30,110,24.839339093642305,19.02369324539766
2023,2023-08-25,mixed,persistence,30,104,90.06647143329756,76.16195990489035
2023,2023-08-25,mixed,smart_persistence,30,104,34.96187728886929,18.635376587545746
2023,2023-08-25,mixed,gbm,30,104,34.46456252344955,19.142516164093426
2023,2023-08-26,mixed,persistence,30,110,93.3123693943546,82.50391146919854
2023,2023-08-26,mixed,smart_persistence,30,110,19.435167720996304,14.099615542269335
2023,2023-08-26,mixed,gbm,30,110,16.366094925090117,10.458259143559236
2023,2023-08-27,mixed,persistence,30,101,97.31086233104851,82.80887350705466
2023,2023-08-27,mixed,smart_persistence,30,101,25.225029495044588,17.97297116292586
2023,2023-08-27,mixed,gbm,30,101,25.257663991231627,16.918550202739556
2023,2023-08-28,mixed,persistence,30,102,97.58899161770074,82.37831173691056
2023,2023-08-28,mixed,smart_persistence,30,102,25.48171593770817,16.820575420663896
2023,2023-08-28,mixed,gbm,30,102,25.421179318055934,17.471443773452247
2023,2023-08-29,mixed,persistence,30,75,80.66925545239789,66.24083755955583
2023,2023-08-29,mixed,smart_persistence,30,75,41.222382222563304,18.054091562705988
2023,2023-08-29,mixed,gbm,30,75,40.597565800535406,20.269563272794077
2023,2023-08-30,mixed,persistence,30,112,97.53357261125063,84.79830549444543
2023,2023-08-30,mixed,smart_persistence,30,112,18.524241374238112,14.33015712821356
2023,2023-08-30,mixed,gbm,30,112,17.501398090552133,13.877311297257402
2023,2023-08-31,mixed,persistence,30,73,76.41971592470595,61.224195651181134
2023,2023-08-31,mixed,smart_persistence,30,73,37.92123807565377,26.409288215332335
2023,2023-08-31,mixed,gbm,30,73,37.49887467462339,27.271857659615613
2023,2023-09-01,mixed,persistence,30,71,94.64630571012462,87.67716609419281
2023,2023-09-01,mixed,smart_persistence,30,71,35.45637181662332,20.313346304250857
2023,2023-09-01,mixed,gbm,30,71,36.547596293527064,21.23240421626635
2023,2023-09-02,mixed,persistence,30,83,80.60759605912088,66.811328541149
2023,2023-09-02,mixed,smart_persistence,30,83,21.73613315542794,14.665517411928274
2023,2023-09-02,mixed,gbm,30,83,28.14402330307969,22.337453951006676
2023,2023-09-03,mixed,persistence,30,113,107.68032851096763,94.55913747939604
2023,2023-09-03,mixed,smart_persistence,30,113,49.42016138841734,27.212878038580502
2023,2023-09-03,mixed,gbm,30,113,60.67576123922953,42.250360914315564
2023,2023-09-04,mixed,persistence,30,113,98.93816191420021,86.49848225686401
2023,2023-09-04,mixed,smart_persistence,30,113,21.053525023590176,14.844684587647405
2023,2023-09-04,mixed,gbm,30,113,19.49112231397706,15.805478509970177
2023,2023-09-05,mixed,persistence,30,104,101.07148633770284,84.87246313461847
2023,2023-09-05,mixed,smart_persistence,30,104,36.71440955489886,17.87036935618831
2023,2023-09-05,mixed,gbm,30,104,30.789038895282587,16.033226456774088
2023,2023-09-06,mixed,persistence,30,103,112.61748429765937,96.74217524111863
2023,2023-09-06,mixed,smart_persistence,30,103,44.86702248873261,22.719638159028783
2023,2023-09-06,mixed,gbm,30,103,32.20834708440059,22.564722234533477
2023,2023-09-07,mixed,persistence,30,114,110.79771598088419,92.04229107237605
2023,2023-09-07,mixed,smart_persistence,30,114,53.35068318741243,23.525554045494083
2023,2023-09-07,mixed,gbm,30,114,33.22349107071304,20.984789940321722
2023,2023-09-08,mixed,persistence,30,104,115.76359077277428,91.25595416778053
2023,2023-09-08,mixed,smart_persistence,30,104,65.2571882980116,24.749577603103052
2023,2023-09-08,mixed,gbm,30,104,40.065050024450734,21.73080089076795
2023,2023-09-09,overcast,persistence,30,114,102.73375600331482,56.14253926277176
2023,2023-09-09,overcast,smart_persistence,30,114,115.39637576213813,62.07019983378738
2023,2023-09-09,overcast,gbm,30,114,135.17384330877857,95.21603876244218
2023,2023-09-10,mixed,persistence,30,115,101.3778853827488,86.66247930112088
2023,2023-09-10,mixed,smart_persistence,30,115,45.341419870565645,19.972871655831337
2023,2023-09-10,mixed,gbm,30,115,32.070285126581446,18.757881627942943
2023,2023-09-11,mixed,persistence,30,115,109.41919486115715,90.86421425860894
2023,2023-09-11,mixed,smart_persistence,30,115,57.14461702653823,24.973538657994066
2023,2023-09-11,mixed,gbm,30,115,36.006236184111245,20.696710683663095
2023,2023-09-12,mixed,persistence,30,116,118.2144298179927,95.48729870237226
2023,2023-09-12,mixed,smart_persistence,30,116,69.63303237535652,29.804879959676846
2023,2023-09-12,mixed,gbm,30,116,45.59102913163099,26.436553644641307
2023,2023-09-13,mixed,persistence,30,116,115.21653194104437,95.74949474334679
2023,2023-09-13,mixed,smart_persistence,30,116,59.95287599355125,25.974643533233454
2023,2023-09-13,mixed,gbm,30,116,42.320750292800675,24.998593785399148
2023,2023-09-14,mixed,persistence,30,84,122.71181899282978,104.40965334574469
2023,2023-09-14,mixed,smart_persistence,30,84,67.88332570509681,22.628767457413
2023,2023-09-14,mixed,gbm,30,84,44.103770348912114,21.086641707342427
2023,2023-09-15,mixed,persistence,30,116,104.09347253126121,88.85879582372036
2023,2023-09-15,mixed,smart_persistence,30,116,45.660843955195496,20.201572695136786
2023,2023-09-15,mixed,gbm,30,116,27.536512255669724,16.821814502068015
2023,2023-09-16,mixed,persistence,30,116,105.18893464730972,88.67848106910382
2023,2023-09-16,mixed,smart_persistence,30,116,48.29501638486602,21.25635526106976
2023,2023-09-16,mixed,gbm,30,116,24.886991173599995,17.51534528782563
2023,2023-09-17,mixed,persistence,30,99,111.62224042802904,96.3155251242894
2023,2023-09-17,mixed,smart_persistence,30,99,46.608049950804926,23.233272763945845
2023,2023-09-17,mixed,gbm,30,99,29.675785839364487,21.544072577001533
2023,2023-09-18,mixed,persistence,30,117,102.28871092392866,89.61739329802606
2023,2023-09-18,mixed,smart_persistence,30,117,31.671838524266594,14.86977631861142
2023,2023-09-18,mixed,gbm,30,117,21.02099869263267,14.630307221460466
2023,2023-09-19,mixed,persistence,30,117,143.05022574727897,99.25222122974898
2023,2023-09-19,mixed,smart_persistence,30,117,100.49517031425493,57.637750032449155
2023,2023-09-19,mixed,gbm,30,117,84.66905129165794,56.43325955620511
2023,2023-09-20,mixed,persistence,30,117,168.0176214646692,102.76087703867634
2023,2023-09-20,mixed,smart_persistence,30,117,134.87268341565593,65.12630503302601
2023,2023-09-20,mixed,gbm,30,117,127.37162689337224,75.9262711724152
2023,2023-09-21,mixed,persistence,30,104,97.49413452326827,80.60935417811024
2023,2023-09-21,mixed,smart_persistence,30,104,40.49842413272522,20.392765480756626
2023,2023-09-21,mixed,gbm,30,104,29.311178856943148,18.738488715261987
2023,2023-09-22,mixed,persistence,30,104,103.71863587033853,94.26677456880222
2023,2023-09-22,mixed,smart_persistence,30,104,32.65733635156137,14.871422444039068
2023,2023-09-22,mixed,gbm,30,104,21.36738161081064,14.216831044132531
2023,2023-09-23,mixed,persistence,30,118,97.93400844097776,86.30354700250125
2023,2023-09-23,mixed,smart_persistence,30,118,25.67823307044855,12.804764732926508
2023,2023-09-23,mixed,gbm,30,118,17.839474506896977,13.004076551905245
2023,2023-09-24,mixed,persistence,30,119,160.45758965611248,119.23467836460098
2023,2023-09-24,mixed,smart_persistence,30,119,131.17828915297002,90.74209839065502
2023,2023-09-24,mixed,gbm,30,119,111.91342255467919,85.16309315658567
2023,2023-09-25,mixed,persistence,30,119,127.6290817784176,96.8753790494766
2023,2023-09-25,mixed,smart_persistence,30,119,75.86031752878637,39.72365134530933
2023,2023-09-25,mixed,gbm,30,119,72.27951194435283,45.08931372279362
2023,2023-09-26,mixed,persistence,30,120,150.19736881813404,109.05273672739668
2023,2023-09-26,mixed,smart_persistence,30,120,113.67529101692524,57.631172658981555
2023,2023-09-26,mixed,gbm,30,120,97.72246833817351,56.90168303535132
2023,2023-09-27,mixed,persistence,30,120,99.62491193162677,88.05098330180047
2023,2023-09-27,mixed,smart_persistence,30,120,26.150326072021,12.801942786947148
2023,2023-09-27,mixed,gbm,30,120,19.65183287329379,15.831691077488037
2023,2023-09-28,mixed,persistence,30,91,88.38021634812165,73.20282038314969
