site,horizon_min,scope,kind,method_a,method_b,n,value,ci_lo,ci_hi,dm_stat,dm_p_hac_h,dm_p_hac_day,significant_95
asp,15,clear,CRPS_diff,icp,icp_norm,23645,-1.1955,-1.445,-0.9492,-7.645,0.0,0.0,yes
asp,15,clear,CRPS_diff,icp,mondrian,23645,3.64,2.9061,4.3082,7.17,0.0,0.0,yes
asp,15,clear,CRPS_diff,icp,cqr,23645,7.6324,7.2876,7.966,36.747,0.0,0.0,yes
asp,15,clear,CRPS_diff,icp,mondrian_cqr,23645,7.6331,7.2886,7.9672,36.682,0.0,0.0,yes
asp,15,clear,CRPS_diff,icp_norm,mondrian,23645,4.8355,4.0094,5.6075,8.798,0.0,0.0,yes
asp,15,clear,CRPS_diff,icp_norm,cqr,23645,8.828,8.4262,9.213,37.687,0.0,0.0,yes
asp,15,clear,CRPS_diff,icp_norm,mondrian_cqr,23645,8.8286,8.426,9.2143,37.598,0.0,0.0,yes
asp,15,clear,CRPS_diff,mondrian,cqr,23645,3.9925,3.3604,4.6785,8.277,0.0,0.0,yes
asp,15,clear,CRPS_diff,mondrian,mondrian_cqr,23645,3.9931,3.3607,4.6795,8.282,0.0,0.0,yes
asp,15,clear,CRPS_diff,cqr,mondrian_cqr,23645,0.0006,-0.0008,0.002,0.745,0.308777,0.456517,no
asp,15,clear,CRPS_diff_rearranged,cqr|rearranged,cqr|static,23645,0.003174,-0.003091,0.010607,0.785,,0.432526,no
asp,15,clear,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,23645,0.002887,-0.003317,0.010254,0.718,,0.472967,no
asp,15,cloudy,CRPS_level,icp|static,,3979,27.8003,24.6621,31.6146,,,,
asp,15,cloudy,CRPS_level,icp_norm|static,,3979,26.3908,23.6701,29.6533,,,,
asp,15,cloudy,CRPS_level,mondrian|static,,3979,27.9437,24.6041,32.0363,,,,
asp,15,cloudy,CRPS_level,cqr|static,,3979,24.803,22.169,27.9046,,,,
asp,15,cloudy,CRPS_level,mondrian_cqr|static,,3979,24.8059,22.1741,27.906,,,,
asp,15,cloudy,CRPS_level,cqr|rearranged,,3979,24.7205,22.0782,27.8345,,,,
asp,15,cloudy,CRPS_level,mondrian_cqr|rearranged,,3979,24.7269,22.0846,27.8407,,,,
asp,15,cloudy,CRPS_diff,icp,icp_norm,3979,1.4096,0.7339,2.1698,3.582,0.0,0.000345,yes
asp,15,cloudy,CRPS_diff,icp,mondrian,3979,-0.1434,-0.4597,0.1204,-0.689,0.177368,0.490853,no
asp,15,cloudy,CRPS_diff,icp,cqr,3979,2.9974,1.8877,4.2086,4.058,0.0,5e-05,yes
asp,15,cloudy,CRPS_diff,icp,mondrian_cqr,3979,2.9944,1.8782,4.2074,4.044,0.0,5.3e-05,yes
asp,15,cloudy,CRPS_diff,icp_norm,mondrian,3979,-1.5529,-2.5834,-0.6677,-2.628,1.4e-05,0.008609,yes
asp,15,cloudy,CRPS_diff,icp_norm,cqr,3979,1.5878,0.7408,2.4636,2.868,2e-06,0.004156,yes
asp,15,cloudy,CRPS_diff,icp_norm,mondrian_cqr,3979,1.5849,0.7337,2.4607,2.853,2e-06,0.004355,yes
asp,15,cloudy,CRPS_diff,mondrian,cqr,3979,3.1407,1.8241,4.5891,3.449,0.0,0.000569,yes
asp,15,cloudy,CRPS_diff,mondrian,mondrian_cqr,3979,3.1378,1.8166,4.591,3.438,0.0,0.000591,yes
asp,15,cloudy,CRPS_diff,cqr,mondrian_cqr,3979,-0.003,-0.0126,0.0079,-0.399,0.38546,0.690194,no
asp,15,cloudy,CRPS_diff_rearranged,cqr|rearranged,cqr|static,3979,-0.082468,-0.11809,-0.051065,-3.913,,9.3e-05,yes
asp,15,cloudy,CRPS_diff_rearranged,mondrian_cqr|rearranged,mondrian_cqr|static,3979,-0.079008,-0.112733,-0.048729,-3.964,,7.5e-05,yes
