bucket,n,PICP,width,method,horizon_min
2024-12,3256,0.9047911547911548,325.0997487126617,mondrian,15
2024-01,3656,0.9327133479212254,361.84121817025107,cqr,15
2024-02,3060,0.9408496732026144,217.05868752862048,cqr,15
2024-03,3701,0.9189408268035666,358.8760440126276,cqr,15
2024-04,3196,0.8782853566958698,173.6113818041536,cqr,15
2024-05,3107,0.8345671065336338,199.6519380252219,cqr,15
2024-06,2921,0.8260869565217391,219.4492045774193,cqr,15
2024-07,3101,0.800386971944534,202.65016267573796,cqr,15
2024-08,2342,0.8864218616567037,149.58213401512748,cqr,15
2024-09,3515,0.9109530583214793,266.5219152304613,cqr,15
2024-10,3680,0.9475543478260869,278.4558509679204,cqr,15
2024-11,3116,0.9335686777920411,413.91523278028995,cqr,15
2024-12,3256,0.9456388206388207,347.1633674528641,cqr,15
2024-01,3656,0.9335339168490153,365.74488487369337,mondrian_cqr,15
2024-02,3060,0.9444444444444444,218.73841880745928,mondrian_cqr,15
2024-03,3701,0.9154282626317212,358.1673065029804,mondrian_cqr,15
2024-04,3196,0.8804755944931164,174.01316191072462,mondrian_cqr,15
2024-05,3107,0.8368200836820083,199.59600932845808,mondrian_cqr,15
2024-06,2921,0.8230058199246834,218.83152865429005,mondrian_cqr,15
2024-07,3101,0.8026443082876491,203.1630167630723,mondrian_cqr,15
2024-08,2342,0.8812980358667806,147.8509362529715,mondrian_cqr,15
2024-09,3515,0.9092460881934566,266.0838457250858,mondrian_cqr,15
2024-10,3680,0.9486413043478261,279.50053814358216,mondrian_cqr,15
2024-11,3116,0.9329268292682927,415.5710584415662,mondrian_cqr,15
2024-12,3256,0.9459459459459459,348.1546255904028,mondrian_cqr,15
2024-01,3656,0.9132932166301969,437.9451950180017,aci,15
2024-02,3060,0.9405228758169935,274.656590542651,aci,15
2024-03,3701,0.9186706295595785,399.69865004219935,aci,15
2024-04,3196,0.9189612015018773,199.81693810445424,aci,15
2024-05,3107,0.9102027679433538,222.19471001314213,aci,15
2024-06,2921,0.9120164327285176,244.28994187420648,aci,15
2024-07,3101,0.9113189293776202,229.4950694090917,aci,15
2024-08,2342,0.9265584970111016,182.40286064225842,aci,15
2024-09,3515,0.9220483641536273,299.578456902662,aci,15
2024-10,3680,0.9298913043478261,317.28743654768783,aci,15
2024-11,3116,0.9143132220795892,408.1591916638807,aci,15
2024-12,3256,0.9327395577395577,361.3763286195651,aci,15
2024-01,3656,0.9045404814004376,426.63714093642824,aci_regime,15
2024-02,3060,0.9339869281045752,267.59226004046405,aci_regime,15
2024-03,3701,0.9057011618481492,379.3737366137928,aci_regime,15
2024-04,3196,0.9051939924906133,190.16179656477047,aci_regime,15
2024-05,3107,0.8937882201480528,197.2407196506841,aci_regime,15
2024-06,2921,0.8972954467648065,216.4680229716121,aci_regime,15
