site,horizon_min,method,variant,nominal,scope,n,PICP,PICP_ci_lo,PICP_ci_hi,ACE,ACE_ci_lo,ACE_ci_hi,covers_nominal
asp,5,cqr,static,0.95,all,44221,0.9457,0.9424,0.949,-0.0043,-0.0076,-0.001,no
asp,5,cqr,static,0.95,clear,23683,0.9517,0.9479,0.9552,0.0017,-0.0021,0.0052,yes
asp,5,cqr,static,0.95,cloudy,4020,0.9547,0.9448,0.964,0.0047,-0.0052,0.014,yes
asp,5,cqr,static,0.95,transitional,16518,0.9351,0.9296,0.9406,-0.0149,-0.0204,-0.0094,no
asp,5,mondrian_cqr,static,0.95,all,44221,0.9468,0.9436,0.9498,-0.0032,-0.0064,-0.0002,no
asp,5,mondrian_cqr,static,0.95,clear,23683,0.945,0.941,0.9487,-0.005,-0.009,-0.0013,no
asp,5,mondrian_cqr,static,0.95,cloudy,4020,0.9515,0.9411,0.9613,0.0015,-0.0089,0.0113,yes
asp,5,mondrian_cqr,static,0.95,transitional,16518,0.9482,0.9428,0.9536,-0.0018,-0.0072,0.0036,yes
asp,5,aci,anticipative,0.95,all,44221,0.9687,0.9672,0.9703,0.0187,0.0172,0.0203,no
asp,5,aci,anticipative,0.95,clear,23683,0.9772,0.9751,0.9793,0.0272,0.0251,0.0293,no
asp,5,aci,anticipative,0.95,cloudy,4020,0.9741,0.9691,0.9789,0.0241,0.0191,0.0289,no
asp,5,aci,anticipative,0.95,transitional,16518,0.9552,0.9531,0.9573,0.0052,0.0031,0.0073,no
asp,5,aci_regime,anticipative,0.95,all,44221,0.959,0.9577,0.9602,0.009,0.0077,0.0102,no
asp,5,aci_regime,anticipative,0.95,clear,23683,0.9531,0.9509,0.9553,0.0031,0.0009,0.0053,no
asp,5,aci_regime,anticipative,0.95,cloudy,4020,0.9525,0.9464,0.9576,0.0025,-0.0036,0.0076,yes
asp,5,aci_regime,anticipative,0.95,transitional,16518,0.9689,0.9672,0.9707,0.0189,0.0172,0.0207,no
asp,5,aci,delayed,0.95,all,44221,0.9687,0.9672,0.9703,0.0187,0.0172,0.0203,no
asp,5,aci,delayed,0.95,clear,23683,0.9772,0.9751,0.9793,0.0272,0.0251,0.0293,no
asp,5,aci,delayed,0.95,cloudy,4020,0.9741,0.9691,0.9789,0.0241,0.0191,0.0289,no
asp,5,aci,delayed,0.95,transitional,16518,0.9552,0.9531,0.9573,0.0052,0.0031,0.0073,no
asp,5,aci_regime,delayed,0.95,all,44221,0.959,0.9577,0.9602,0.009,0.0077,0.0102,no
asp,5,aci_regime,delayed,0.95,clear,23683,0.9531,0.9509,0.9553,0.0031,0.0009,0.0053,no
asp,5,aci_regime,delayed,0.95,cloudy,4020,0.9525,0.9464,0.9576,0.0025,-0.0036,0.0076,yes
asp,5,aci_regime,delayed,0.95,transitional,16518,0.9689,0.9672,0.9707,0.0189,0.0172,0.0207,no
asp,15,icp,static,0.8,all,43497,0.7442,0.7202,0.7682,-0.0558,-0.0798,-0.0318,no
asp,15,icp,static,0.8,clear,23645,0.931,0.9177,0.943,0.131,0.1177,0.143,no
asp,15,icp,static,0.8,cloudy,3979,0.7452,0.708,0.7786,-0.0548,-0.092,-0.0214,no
