site,method,variant,horizon_min,nominal,scope,n,PICP,ACE,PINAW,Winkler
asp,mondrian_cqr,static,60,0.9,cloudy,3647,0.8892,-0.0108,0.3496,563.41
asp,cqr,rearranged,60,0.9,all,40239,0.8978,-0.0022,0.1954,427.29
asp,cqr,rearranged,60,0.9,clear,22594,0.9089,0.0089,0.089,259.81
asp,cqr,rearranged,60,0.9,transitional,13998,0.8795,-0.0205,0.344,665.36
asp,cqr,rearranged,60,0.9,cloudy,3647,0.8996,-0.0004,0.3496,551.07
asp,mondrian_cqr,rearranged,60,0.9,all,40239,0.8985,-0.0015,0.1961,426.98
asp,mondrian_cqr,rearranged,60,0.9,clear,22594,0.906,0.006,0.0885,259.75
asp,mondrian_cqr,rearranged,60,0.9,transitional,13998,0.8861,-0.0139,0.347,664.57
asp,mondrian_cqr,rearranged,60,0.9,cloudy,3647,0.8991,-0.0009,0.3491,551.07
asp,aci,anticipative,60,0.9,all,40239,0.9377,0.0377,0.2329,438.78
asp,aci,anticipative,60,0.9,clear,22594,0.9453,0.0453,0.1223,258.79
asp,aci,anticipative,60,0.9,transitional,13998,0.9285,0.0285,0.4078,712.98
asp,aci,anticipative,60,0.9,cloudy,3647,0.9254,0.0254,0.3131,501.41
asp,aci_regime,anticipative,60,0.9,all,40239,0.926,0.026,0.2295,437.44
asp,aci_regime,anticipative,60,0.9,clear,22594,0.9172,0.0172,0.1111,244.68
asp,aci_regime,anticipative,60,0.9,transitional,13998,0.9411,0.0411,0.4164,726.69
asp,aci_regime,anticipative,60,0.9,cloudy,3647,0.9219,0.0219,0.3091,521.45
asp,aci_g0.01,anticipative,60,0.9,all,40239,0.9371,0.0371,0.2649,533.81
asp,aci_g0.02,anticipative,60,0.9,all,40239,0.9446,0.0446,0.2511,482.43
asp,aci_g0.05,anticipative,60,0.9,all,40239,0.9377,0.0377,0.2329,438.78
asp,aci_g0.1,anticipative,60,0.9,all,40239,0.9232,0.0232,0.246,448.78
asp,aci,delayed,60,0.9,all,40239,0.9214,0.0214,0.4045,769.1
asp,aci,delayed,60,0.9,clear,22594,0.9272,0.0272,0.2253,477.59
asp,aci,delayed,60,0.9,transitional,13998,0.9148,0.0148,0.6749,1195.32
asp,aci,delayed,60,0.9,cloudy,3647,0.9112,0.0112,0.6018,939.14
asp,aci_regime,delayed,60,0.9,all,40239,0.8922,-0.0078,0.345,711.91
asp,aci_regime,delayed,60,0.9,clear,22594,0.8763,-0.0237,0.2522,550.45
asp,aci_regime,delayed,60,0.9,transitional,13998,0.9183,0.0183,0.5049,964.13
asp,aci_regime,delayed,60,0.9,cloudy,3647,0.8903,-0.0097,0.4078,744.13
asp,aci_g0.01,delayed,60,0.9,all,40239,0.9261,0.0261,0.3195,666.54
asp,aci_g0.02,delayed,60,0.9,all,40239,0.9334,0.0334,0.3504,689.64
asp,aci_g0.05,delayed,60,0.9,all,40239,0.9214,0.0214,0.4045,769.1
asp,aci_g0.1,delayed,60,0.9,all,40239,0.8988,-0.0012,0.5011,914.41
asp,icp,static,60,0.95,all,40239,0.9383,-0.0117,0.3678,879.3
asp,icp,static,60,0.95,clear,22594,0.9828,0.0328,0.3854,695.32
asp,icp,static,60,0.95,transitional,13998,0.8677,-0.0823,0.368,1195.58
asp,icp,static,60,0.95,cloudy,3647,0.9339,-0.0161,0.3795,805.13
asp,icp_norm,static,60,0.95,all,40239,0.9347,-0.0153,0.3667,764.64
asp,icp_norm,static,60,0.95,clear,22594,0.9765,0.0265,0.3845,655.37
asp,icp_norm,static,60,0.95,transitional,13998,0.8692,-0.0808,0.3668,946.14
asp,icp_norm,static,60,0.95,cloudy,3647,0.9276,-0.0224,0.3758,745.0
asp,mondrian,static,60,0.95,all,40239,0.9399,-0.0101,0.2801,747.36
asp,mondrian,static,60,0.95,clear,22594,0.936,-0.014,0.1378,582.96
asp,mondrian,static,60,0.95,transitional,13998,0.9466,-0.0034,0.5022,1000.34
asp,mondrian,static,60,0.95,cloudy,3647,0.938,-0.012,0.3884,794.9
asp,cqr,static,60,0.95,all,40239,0.9463,-0.0037,0.2508,521.2
asp,cqr,static,60,0.95,clear,22594,0.9515,0.0015,0.1439,366.1
