site,horizon_min,policy,protocol,protocol_label,theta,mean_daily,cvar95_daily,value_captured_mean,value_captured_cvar,vc_mean_ci_lo,vc_mean_ci_hi,vc_cvar_ci_lo,vc_cvar_ci_hi,cvar_ci_lo,cvar_ci_hi
asp,60,cqr,A,A: theta selected on 2023-H2 (mean cost),0.825,140.09,976.89,0.7513,0.7042,0.7118,0.7879,0.6261,0.7696,743.4002,1230.575
asp,60,cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.8,143.26,1035.59,0.7457,0.6864,,,,,,
asp,60,cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.875,148.59,813.21,0.7362,0.7537,0.6949,0.7726,0.687,0.804,651.2814,1010.9355
asp,60,cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,169.03,769.87,0.6999,0.7668,0.6532,0.7398,0.7151,0.8053,662.4924,904.9492
asp,60,icp,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.9,200.12,1577.76,0.6447,0.5222,0.6057,0.6841,0.4827,0.5743,1291.2336,1791.4977
asp,60,icp,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.925,196.97,1114.07,0.6503,0.6626,,,,,,
asp,60,icp,A,A: theta selected on 2023-H2 (mean cost),0.875,247.5,1986.46,0.5606,0.3984,0.5233,0.6026,0.3658,0.4383,1690.0873,2255.1171
asp,60,icp,A_swapped,A-swapped: theta selected on 2023-H1,0.925,196.97,1114.07,0.6503,0.6626,,,,,,
asp,60,icp,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.95,267.98,778.62,0.5243,0.7642,0.4402,0.5892,0.7188,0.8069,622.8571,924.5611
asp,60,icp,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,191.91,1418.42,0.6593,0.5704,0.6187,0.6974,0.5266,0.6254,1145.325,1614.9449
asp,60,mondrian,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.9,154.03,936.7,0.7266,0.7163,0.6847,0.765,0.634,0.7879,686.7229,1215.9881
asp,60,mondrian,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.875,146.9,1112.51,0.7392,0.6631,,,,,,
asp,60,mondrian,A,A: theta selected on 2023-H2 (mean cost),0.875,146.9,1112.51,0.7392,0.6631,0.6996,0.7761,0.5792,0.7404,816.1128,1417.294
asp,60,mondrian,A_swapped,A-swapped: theta selected on 2023-H1,0.85,150.44,1274.55,0.7329,0.614,,,,,,
asp,60,mondrian,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.925,176.87,827.15,0.686,0.7495,0.6374,0.7284,0.676,0.8095,629.78,1069.8856
asp,60,mondrian,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,160.03,887.38,0.7159,0.7313,0.6725,0.7555,0.6508,0.8001,655.2405,1153.6791
asp,60,mondrian_cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,143.15,1034.91,0.7459,0.6866,0.7059,0.7833,0.6045,0.7563,785.2733,1307.2688
asp,60,mondrian_cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.825,140.15,975.36,0.7512,0.7046,,,,,,
asp,60,mondrian_cqr,A,A: theta selected on 2023-H2 (mean cost),0.825,140.15,975.36,0.7512,0.7046,0.7115,0.7878,0.6267,0.77,742.2496,1228.6203
asp,60,mondrian_cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.8,143.15,1034.91,0.7459,0.6866,,,,,,
asp,60,mondrian_cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.875,148.32,812.7,0.7367,0.7539,0.6955,0.7729,0.6873,0.8042,651.1648,1009.9605
asp,60,mondrian_cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,170.63,771.94,0.6971,0.7662,0.6499,0.7372,0.7145,0.8045,665.8032,905.4271
yulara,5,cqr,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.8,7.0,68.78,0.9591,0.9043,0.9477,0.9689,0.877,0.9285,51.9031,86.6124
yulara,5,cqr,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.8,7.0,68.78,0.9591,0.9043,,,,,,
yulara,5,cqr,A,A: theta selected on 2023-H2 (mean cost),0.8,7.0,68.78,0.9591,0.9043,0.9477,0.9689,0.877,0.9285,51.9031,86.6124
yulara,5,cqr,A_swapped,A-swapped: theta selected on 2023-H1,0.8,7.0,68.78,0.9591,0.9043,,,,,,
yulara,5,cqr,A_meancvar_lam0.5,"A: theta selected on 2023-H2 (mean-CVaR, lambda=0.5)",0.8,7.0,68.78,0.9591,0.9043,0.9477,0.9689,0.877,0.9285,51.9031,86.6124
yulara,5,cqr,B_critical_fractile,"B: theta = c_u/(c_u+c_o) = 0.909, zero tuning",0.909,33.25,188.73,0.8058,0.7375,0.7722,0.8368,0.7014,0.7698,169.2572,205.5792
yulara,5,icp,R0_test_argmin_coarse,"R0 (theta = argmin on TEST 2024, R0 grid)",0.9,12.76,170.27,0.9255,0.7632,0.8993,0.9485,0.6778,0.8472,104.3472,243.4507
yulara,5,icp,R0_test_argmin_fine,R0 protocol on the fine grid (still TEST-tuned),0.925,7.12,80.64,0.9584,0.8879,,,,,,
